عبارت,فرکانس کل,تعداد پرونده‌ی متمایز,دسته‌ی پیشنهادی,نزدیک‌ترین واژه‌ی موجود (امتیاز),پیشنهاد نهایی,دسته_بازبینی
حق خواهان,543,471,role,صاحب‌حق (0.76),واژه‌ی جدید,role
اخیر,577,471,concept,خارج از موضوع (0.65),واژه‌ی جدید,concept
رییس,600,470,role,رئیس دادگاه (0.69),واژه‌ی جدید,role
متضمن,526,470,role,مضمون (0.73),واژه‌ی جدید,role
ماه,871,469,object,مالیات (0.64),واژه‌ی جدید,object
مربوط,676,469,role,وابسته (0.71),واژه‌ی جدید,role
لازم,710,468,concept,لازمه (0.87),alias پیشنهادی برای «لازمه»,concept
دادگاه محترم,646,467,concept,نظر دادگاه (0.75),واژه‌ی جدید,concept
محسوب,608,466,principle,لحاظ (0.70),واژه‌ی جدید,principle
آمده,689,466,object,رسید (0.75),واژه‌ی جدید,object
ماده,733,466,object,عقار (0.65),واژه‌ی جدید,object
مطرح,697,463,role,مدعی (0.65),واژه‌ی جدید,role
مزبور,898,462,role,مغبون (0.62),واژه‌ی جدید,role
لوایح,625,462,object,لایحه (0.71),واژه‌ی جدید,object
آقایان,798,462,action,پیشنهاد (0.64),واژه‌ی جدید,action
صحیح,579,462,role,صاحب‌حق (0.72),واژه‌ی جدید,role
مدارک,718,462,object,مدرک (0.79),واژه‌ی جدید,object
اداره,1116,460,role,دولت (0.73),واژه‌ی جدید,role
دلایل,609,459,concept,علت (0.88),alias پیشنهادی برای «علت»,concept
خواندگان,1939,458,role,مأذون (0.57),واژه‌ی جدید,role
مستندا,639,457,object,مستندات (0.77),واژه‌ی جدید,object
زوجین,1212,457,concept,ازدواج (0.72),واژه‌ی جدید,concept
شعبه در,497,456,object,شعبه دادگاه (0.74),واژه‌ی جدید,object
از قرائت,466,454,concept,استقراء (0.68),واژه‌ی جدید,concept
بالا تشکیل,463,453,concept,ایجاد تعهد (0.56),واژه‌ی جدید,concept
خواه,1120,453,concept,تمایل (0.66),واژه‌ی جدید,concept
منزل,1288,452,object,محل (0.62),واژه‌ی جدید,object
آیین,612,452,object,آئین نامه (0.68),واژه‌ی جدید,object
خواهان به,582,451,object,طلب (0.79),واژه‌ی جدید,object
جهات,569,450,concept,جهت‌گیری (0.65),واژه‌ی جدید,concept
دادگاه در,640,450,action,ورود به دادگاه (0.78),واژه‌ی جدید,action
ثانیاً,591,450,object,تبصره (0.62),واژه‌ی جدید,object
دیگری,659,449,role,ثالث (0.64),واژه‌ی جدید,role
عادی,1072,449,concept,شخص طبیعی (0.59),واژه‌ی جدید,concept
سایر,679,448,concept,خارج از موضوع (0.63),واژه‌ی جدید,concept
انتقال,1454,448,action,نقل (0.82),واژه‌ی جدید,action
می‌باشد,1231,446,concept,قانونی بودن (0.65),واژه‌ی جدید,REMOVE
میلیون ریال,927,445,object,واحد پول (0.67),واژه‌ی جدید,object
به مبلغ,751,444,action,پرداخت (0.71),واژه‌ی جدید,action
الذکر,612,444,action,یادآوری (0.74),واژه‌ی جدید,action
ندانسته,509,442,concept,غیرمستند (0.61),واژه‌ی جدید,concept
می دهد,586,441,role,وام‌دهنده (0.69),واژه‌ی جدید,role
لیکن,614,441,role,ولی (0.73),واژه‌ی جدید,role
دعوای,991,440,concept,کشمکش حقوقی (0.79),واژه‌ی جدید,concept
دارای,685,439,concept,برخورداری (0.70),واژه‌ی جدید,concept
بوده که,596,439,concept,ملزم بودن (0.62),واژه‌ی جدید,concept
تجدیدنظرخواه به,516,439,concept,تجدیدنظر (0.84),واژه‌ی جدید,concept
آئین,591,439,object,آئین نامه (0.82),واژه‌ی جدید,object
تاریخ بالا,448,438,action,تقویم (0.62),واژه‌ی جدید,action
مشاوره نموده,446,438,action,مشاوره (0.83),واژه‌ی جدید,action
علیه,880,438,concept,ضد حقوق بشر (0.77),واژه‌ی جدید,concept
خصوص تجدیدنظرخواهی,455,438,concept,تجدیدنظر (0.80),واژه‌ی جدید,concept
مستند,656,437,object,مستندات (0.76),واژه‌ی جدید,object
بخواسته,561,436,action,واخواست (0.68),واژه‌ی جدید,action
من,1904,434,concept,منقص (0.64),واژه‌ی جدید,REMOVE
اقامه,624,434,action,اقاله (0.83),واژه‌ی جدید,action
خارج,687,434,concept,خارج از قلمرو (0.76),واژه‌ی جدید,concept
مندرجات,544,434,action,طبقه‌بندی (0.65),واژه‌ی جدید,action
نه,711,433,action,نفی (0.68),واژه‌ی جدید,REMOVE
پرونده کلاسه,601,432,object,پرونده (0.80),واژه‌ی جدید,object
قبول,771,431,action,پذیرش (0.87),واژه‌ی جدید,action
وکالت از,651,430,concept,وکالت (0.79),واژه‌ی جدید,concept
کارشناس,1124,428,role,مشاور (0.74),واژه‌ی جدید,role
تحت,666,428,action,زیر پای حقوق (0.73),واژه‌ی جدید,REMOVE
ردیف,1884,428,action,رد (0.71),واژه‌ی جدید,REMOVE
همچنین,679,428,role,مضمون (0.59),واژه‌ی جدید,role
اعاده,982,427,action,اعاده اعتبار (0.84),واژه‌ی جدید,action
داده است,657,427,concept,شخص (0.67),واژه‌ی جدید,REMOVE
موارد,691,427,object,نمونه (0.68),واژه‌ی جدید,object
مربوط به,600,425,concept,خارج از موضوع (0.69),واژه‌ی جدید,concept
آئین دادرسی,557,423,concept,آیین دادرسی (0.93),alias پیشنهادی برای «آیین دادرسی»,concept
دادخواستی,484,421,object,دادخواست (0.92),alias پیشنهادی برای «دادخواست»,object
امکان,933,421,action,پیشنهاد (0.70),واژه‌ی جدید,action
ممیز,470,420,concept,تمایز (0.67),واژه‌ی جدید,concept
دادگاههای,583,419,role,دیوان عدالت اداری (0.74),واژه‌ی جدید,role
بعد از,825,419,principle,طبق قانون (0.65),واژه‌ی جدید,principle
استفاده,690,418,action,استعمال (0.95),alias پیشنهادی برای «استعمال»,action
شرعی,596,418,principle,شرع (0.72),واژه‌ی جدید,principle
از جمله,545,418,principle,لحاظ (0.64),واژه‌ی جدید,principle
قرار رد,651,417,action,قرار (0.74),واژه‌ی جدید,action
یکی,585,417,concept,شخص (0.70),واژه‌ی جدید,REMOVE
خوانده در,558,417,role,محکوم‌علیه (0.61),واژه‌ی جدید,role
شهرستان,784,416,principle,محیط (0.63),واژه‌ی جدید,principle
اعتبار,644,416,action,اعاده اعتبار (0.74),واژه‌ی جدید,action
تومان,1112,415,object,واحد پول (0.66),واژه‌ی جدید,object
دادنامه معترض,487,414,action,اعتراض (0.75),واژه‌ی جدید,action
زندگی مشترک,1152,412,concept,ازدواج (0.75),واژه‌ی جدید,concept
وقت,833,412,concept,ضیق وقت (0.71),واژه‌ی جدید,REMOVE
دریافت,767,412,action,وصول (0.81),واژه‌ی جدید,action
فلذا,549,411,concept,سبب (0.59),واژه‌ی جدید,concept
ابراز,508,410,action,خوداظهاری (0.76),واژه‌ی جدید,action
دادگاه دعوی,436,410,concept,دعوی (0.87),واژه‌ی جدید,concept
معترض عنه,506,409,action,اعتراض (0.82),واژه‌ی جدید,action
مالی,799,408,concept,مالیت (0.81),واژه‌ی جدید,concept
منطبق,467,408,object,منقول (0.72),واژه‌ی جدید,object
مرجع,640,408,role,مرجع قضائی (0.71),واژه‌ی جدید,role
ادامه,697,408,concept,خارج از موضوع (0.68),واژه‌ی جدید,concept
عضو ممیز,453,407,concept,رکن دعوی (0.64),واژه‌ی جدید,concept
را فراهم,426,407,concept,ایجاد تعهد (0.68),واژه‌ی جدید,concept
مستشار دادگاه,418,407,role,رئیس دادگاه (0.71),واژه‌ی جدید,role
محاکم محترم,434,407,action,محاکمه (0.74),واژه‌ی جدید,action
مبادرت,649,406,concept,اجرت (0.62),واژه‌ی جدید,concept
تشکیل گردید,419,405,action,تأسیس (0.68),واژه‌ی جدید,action
اعلام نموده,606,404,object,اعلامیه حراج (0.67),واژه‌ی جدید,object
به رد,572,404,action,رد (0.86),واژه‌ی جدید,action
قبل از,670,404,concept,پیش‌فروش (0.65),واژه‌ی جدید,concept
محکومیت خوانده,508,403,concept,محکومیت (0.87),واژه‌ی جدید,concept
دادگاه خانواده,542,401,object,قانون خانواده (0.78),واژه‌ی جدید,object
تجدیدنظرخواسته را,461,400,concept,تجدیدنظر (0.83),واژه‌ی جدید,concept
می‌نماید,790,400,role,موصی له (0.67),واژه‌ی جدید,REMOVE
که موجبات,409,399,concept,سبب (0.76),واژه‌ی جدید,concept
فی,696,399,role,مضمون (0.60),واژه‌ی جدید,REMOVE
در مقام,559,397,role,مقام (0.79),واژه‌ی جدید,role
دعوی مطروحه,507,395,action,اقامه دعوی (0.84),واژه‌ی جدید,action
وقوع,678,394,concept,وقوع جرم (0.86),واژه‌ی جدید,concept
جهت رسیدگی,580,394,action,رسیدگی (0.88),alias پیشنهادی برای «رسیدگی»,action
موازین قانونی,430,393,concept,فضای قانونی (0.68),واژه‌ی جدید,concept
صادر می,512,393,role,صادرکننده (0.75),واژه‌ی جدید,role
تجدیدنظر خواسته,596,393,concept,تجدیدنظر (0.85),واژه‌ی جدید,concept
بدین,509,392,object,دیه (0.63),واژه‌ی جدید,object
شعبه ارجاع,415,390,action,ارجاع (0.84),واژه‌ی جدید,action
اقدام به,620,388,action,تصرف (0.75),واژه‌ی جدید,action
ابطال,1273,388,role,مبطل (0.67),واژه‌ی جدید,role
خواسته خواهان,474,387,object,طلب (0.79),واژه‌ی جدید,object
صرف,492,386,principle,لحاظ (0.68),واژه‌ی جدید,REMOVE
قابلیت,517,383,concept,قابلیت اجرایی (0.81),واژه‌ی جدید,concept
قانون آئین,492,383,object,آئین نامه (0.74),واژه‌ی جدید,object
این امر,538,382,object,قضیه (0.61),واژه‌ی جدید,object
نموده اند,641,381,action,تصرف (0.63),واژه‌ی جدید,REMOVE
دارم,791,381,action,گرفتن (0.67),واژه‌ی جدید,action
اینکه در,470,380,principle,طبق قانون (0.66),واژه‌ی جدید,REMOVE
به دیوان,424,380,concept,به‌محکومیت (0.66),واژه‌ی جدید,concept
به صدور,556,380,action,صادر کردن حکم (0.72),واژه‌ی جدید,action
ننموده است,453,380,concept,غیرمستند (0.62),واژه‌ی جدید,concept
الوکاله,609,379,object,حق‌الوکاله (0.85),واژه‌ی جدید,object
یکی از,510,377,concept,شخص (0.61),واژه‌ی جدید,concept
طرفی,469,377,role,بی‌طرف (0.74),واژه‌ی جدید,role
کننده,502,377,role,وام‌دهنده (0.74),واژه‌ی جدید,REMOVE
مبادرت به,604,376,object,موصى به (0.65),واژه‌ی جدید,object
نموده چنین,376,375,principle,لحاظ (0.60),واژه‌ی جدید,principle
دادگاه بدوی,598,375,object,شعبه دادگاه (0.66),واژه‌ی جدید,object
احتساب,487,374,object,مالیات (0.70),واژه‌ی جدید,object
که خواهان,434,374,role,اصحاب دعوی (0.71),واژه‌ی جدید,role
وصف,543,374,role,مضمون (0.67),واژه‌ی جدید,REMOVE
خواسته صدور,411,374,object,طلب (0.73),واژه‌ی جدید,object
مستندا به,511,372,principle,طبق قانون (0.75),واژه‌ی جدید,principle
به شعبه,616,372,object,شعبه دادگاه (0.72),واژه‌ی جدید,object
موجبات نقض,377,372,action,نقض (0.77),واژه‌ی جدید,action
تحویل,1065,372,action,تحویل حکم (0.84),واژه‌ی جدید,action
آنان,676,372,role,اهل (0.62),واژه‌ی جدید,role
ناشی,615,371,concept,سبب (0.71),واژه‌ی جدید,concept
معرفی,750,371,action,پیشنهاد (0.77),واژه‌ی جدید,action
دادگاههای عمومی,495,370,principle,حقوق عمومی (0.75),واژه‌ی جدید,principle
وکلای,752,369,role,وکیل (0.79),واژه‌ی جدید,role
اشکال,403,367,concept,نقص (0.70),واژه‌ی جدید,concept
در زمان,610,365,principle,طبق قانون (0.70),واژه‌ی جدید,principle
نداده,429,365,concept,نبود صلاحیت (0.67),واژه‌ی جدید,concept
خانواده تهران,527,365,concept,رابطه خانوادگی (0.63),واژه‌ی جدید,concept
دادگاه حقوقی,471,364,object,بنیاد حقوقی (0.77),واژه‌ی جدید,object
نظر استان,441,362,concept,نظر دادگاه (0.69),واژه‌ی جدید,concept
وکیل خوانده,580,362,role,وکیل (0.76),واژه‌ی جدید,role
گونه,492,361,concept,نوع جرم (0.64),واژه‌ی جدید,concept
قید,541,361,action,وضع قید (0.83),واژه‌ی جدید,action
سوم,705,361,role,ثالث (0.77),واژه‌ی جدید,REMOVE
ریال بابت,743,359,principle,لحاظ (0.61),واژه‌ی جدید,principle
قانون آیین,464,359,concept,آیین دادرسی (0.68),واژه‌ی جدید,concept
شعبه محترم,423,359,object,شعبه دادگاه (0.73),واژه‌ی جدید,object
فوق الذکر,477,358,concept,خارج از موضوع (0.68),واژه‌ی جدید,concept
موجود در,402,357,concept,شخص (0.66),واژه‌ی جدید,concept
این رای,419,357,object,رأی (0.78),واژه‌ی جدید,object
ناشی از,578,356,concept,سبب (0.78),واژه‌ی جدید,concept
اظهار داشته,843,355,object,اظهارنامه (0.76),واژه‌ی جدید,object
فرجام خواهی,831,355,action,فرجام (0.73),واژه‌ی جدید,action
از طرف,565,354,principle,طبق قانون (0.72),واژه‌ی جدید,principle
کار,691,353,role,کارمند (0.71),واژه‌ی جدید,REMOVE
استناد مواد,394,353,object,مستندات (0.67),واژه‌ی جدید,object
مراجعه,571,353,action,رجوع (0.79),واژه‌ی جدید,action
راجع,555,352,action,رجوع (0.75),واژه‌ی جدید,action
مهریه,1677,351,object,ارثیه (0.68),واژه‌ی جدید,object
از طرفی,433,351,role,بی‌طرف (0.72),واژه‌ی جدید,role
ما,615,351,concept,تعریف (0.65),واژه‌ی جدید,REMOVE
